trial,cf_full_human,cf_full_human_add,cf_full_ai,heur_human,heur_ai,adv_heur_human,adv_heur_ai
1,48.93352488295656,50.34106217682485,44.92559049337855,59.90388925204597,46.365862744015466,54.27641548355183,45.69586972621482
2,44.057512844872754,44.73154332348009,22.825578028918002,59.90388925204597,46.365862744015466,54.27641548355183,45.69586972621482
3,73.10742996903959,71.52471179356833,45.04329855316276,59.90388925204597,46.365862744015466,65.20972884075809,47.00734515206828
4,61.73646041834014,65.59560520895349,23.574582036650007,59.90388925204597,46.365862744015466,65.20972884075809,47.00734515206828
5,39.7522346096903,38.23185419199884,24.899439233911554,49.93067663288263,20.15616678828972,44.75228623056531,19.651940241719288
6,38.57048565476496,38.23385185586513,22.59525858084805,49.93067663288263,20.15616678828972,44.75228623056531,19.651940241719288
7,68.99346134312681,63.25894228064819,23.95868039224336,49.307350844184924,18.76974508339613,49.30506735497566,18.770822839978088
8,59.44513144023201,62.93650014713687,23.47621699419082,49.307350844184924,18.76974508339613,49.30506735497566,18.770822839978088
9,39.69449190459859,38.23185419199884,22.642439046721368,46.81404768939409,13.804860311990957,45.55122458766983,13.708387848202618
10,38.05140343730485,37.619159058012436,22.573469964592622,46.81404768939409,13.804860311990957,45.55122458766983,13.708387848202618
11,68.26065795494183,62.920040381263824,23.860020358041286,46.81404768939409,13.804860311990957,51.04246640390663,14.14905962523191
12,58.16002799937392,61.43162320580935,23.421048462857176,46.81404768939409,13.804860311990957,51.04246640390663,14.14905962523191
13,48.94538412543988,50.341062176824856,44.92615616940788,57.41058609725514,39.59131777544117,50.522572716246,38.77131442378134
14,46.252798435884266,47.331182064000586,22.917725734434978,57.41058609725514,39.59131777544117,50.522572716246,38.77131442378134
15,65.47320864317231,64.66941836148297,45.7145196892388,56.78726030855743,37.89768153329759,65.99268843072052,39.00738873695316
16,53.23167523556746,55.59550929689454,23.210665972739072,56.78726030855743,37.89768153329759,65.99268843072052,39.00738873695316
